number,status,fed_register
033469-5,Issued,Noticed for 30 days
066980-4,Issued,Noticed for 30 days
43261B-0,Ready for Review,Noticed for 30 days
43264B-0,Ready for Review,Noticed for 30 days
051553-5,Issued,N/A
44513B-0,Issued,N/A
44530B-0,Issued,N/A
049654-6,Issued,N/A
016270-9,Ready for Review,Noticed for 30 days
45011B-0,Issued,N/A
38642A-1,Ready for Review,Noticed for 30 days
28025A-3,In RO for in-processing,N/A
069754-5,Issued,Noticed for 30 days
32397A-2,Issued,Noticed for 30 days
214678-1,In RO for in-processing,N/A
47161B-0,Issued,N/A
47720B-0,In RO for in-processing,Noticed for 30 days
087191-3,Ready for Review,Noticed for 30 days
48386B-0,Issued,N/A
48582B-0,Issued,Noticed for 30 days
48576B-0,Issued,Noticed for 30 days
089074-3,Abandoned,N/A
089074-3,In FO for review,N/A
65334A-1,Ready for Review,N/A
059008-8,Issued,Noticed for 30 days
117769-8,Issued,N/A
50089B-0,Issued,N/A
50519B-0,Issued,N/A
50652A-1,Ready for Review,N/A
142806-1,Ready for Review,Noticed for 30 days
136808-3,Ready for Review,N/A
51145B-0,Issued,N/A
78919A-1,In RO for signatory approval,N/A
51144B-0,Issued,N/A
008077-2,Ready for Review,Noticed for 30 days
51587B-0,Cancelled,N/A
020890-4,Ready for Review,Noticed for 30 days
237537-1,In RO for signatory approval,Noticed for 30 days
22570A-1,Issued,Noticed for 30 days
52814B-0,Issued,N/A
52876B-0,Issued,N/A
210423-1,,N/A
53149B-0,Issued,Noticed for 30 days
065948-2,Ready for Review,Noticed for 30 days
34882A-1,In FO for Review,Noticed for 30 days
53366B-0,Issued,N/A
206872-6,Issued,Noticed for 30 days
53906B-0,Ready for Review,Noticed for 30 days
53910B-0,Issued,Noticed for 30 days
53973B-0,Issued,N/A
23583B-1,Issued,N/A
146761-3,Ready for Review,Noticed for 30 days
54106B-0,Issued,N/A
092945-3,Issued,Noticed for 30 days
65550A-1,Ready for Review,N/A
54578B-0,Issued,Noticed for 30 days
35313B-2,Issued,Noticed for 30 days
002412-6,Ready for Review,Noticed for 30 days
54891B-0,Awaiting signature,Noticed for 30 days
89785B-0,Issued,Noticed for 30 days
096554-3,Issued,Noticed for 30 days
55292B-0,Issued,Noticed for 30 days
079972-3,Ready for Review,Noticed for 30 days
55286B-0,Issued,Noticed for 30 days
27608B-0,Issued,Noticed for 30 days
56028B-0,Ready for Review,Noticed for 30 days
56430B-0,Issued,Noticed for 30 days
56746B-0,Issued,Noticed for 30 days
56749B-0,Issued,Noticed for 30 days
801914-7,Ready for Review,N/A
22311A-1,Issued,Noticed for 30 days
56946B-0,Issued,N/A
822525-6,Ready for Review,Noticed for 30 days
57150B-0,Issued,N/A
38522A-1,Issued,Noticed for 30 days
207117-1,Ready for Review,Noticed for 30 days
075913-5,Issued,Noticed for 30 days
57482B-0,Withdrawn,N/A
58576B-0,Issued,Noticed for 30 days
035570-1,Withdrawn,N/A
59106B-0,Issued,N/A
59647B-0,Issued,N/A
59646B-0,Issued,N/A
763742-5,Ready for Review,N/A
59645B-0,Ready for Review,Noticed for 30 days
59798B-0,In RO for in-processing,Noticed for 30 days
59943B-0,In RO for in-processing,N/A
60238B-0,Issued,Noticed for 30 days
206777-2,Ready for Review,Noticed for 30 days
60685B-0,Issued,N/A
60683B-0,Issued,N/A
237544-1,Ready for Review,Noticed for 30 days
233262-2,Withdrawn,N/A
156392-3,Issued,N/A
070584-12,Issued,N/A
178874-1,Ready for Review,N/A
61981B-0,Issued,Noticed for 30 days
171516-4,Issued,Noticed for 30 days
64015A-1,In RO for in-processing,N/A
206741-1,Issued,Noticed for 30 days
62778B-0,Issued,Noticed for 30 days
121059-2,Issued,Noticed for 30 days
62857B-0,In RO for in-processing,N/A
65346A-1,Issued,Noticed for 30 days
65002A-1,Issued,Noticed for 30 days
171577-3,Issued,N/A
007748-3,Issued,Noticed for 30 days
237548-2,Issued,N/A
63349B-0,Issued,N/A
63355B-0,Awaiting Input from Applicant,Noticed for 30 days
63357B-0,Withdrawn,Noticed for 30 days
,,
056217-4,Ready for Review,Noticed for 30 days
63888B-0,Abandoned,N/A
100070-2,Issued,Noticed for 30 days
13844A-2,In RO for in-processing,Noticed for 30 days
12399A-3,Issued,Noticed for 30 days
66445B-0,Issued,Noticed for 30 days
66480B-0,In RO for in-processing,Noticed for 30 days
017853-3,In RO for in-processing,Noticed for 30 days
68616B-0,Issued,Noticed for 30 days
125557-2,In RO for in-processing,Noticed for 30 days
68773B-0,Issued,Noticed for 30 days
12123A-1,In RO for in-processing,needs to be drafted
079863-3,In RO for in-processing,Noticed for 30 days
088035-1,In RO for in-processing,Noticed for 30 days
